LIMIT_BAL,Sex,Education,AGE,difference,default,,,
3.00E+05,1,2,39,192138,1,,,
310000,0,4,39,-47682,1,,,
340000,1,3,33,-235,1,,,
80000,1,3,34,301791,1,,Arista,0822 4572 9591
70000,1,3,25,202734,1,,Aubert,0813 3191 3541
3.00E+05,1,4,29,0,1,,,
110000,1,3,33,38963,1,,,
120000,0,4,48,0,1,,,
280000,0,4,46,0,1,,,
30000,1,2,26,135084,1,,,
140000,1,4,32,525824,1,,,
40000,0,4,46,1170,1,,,
140000,1,3,26,201928,1,,,
30000,0,3,29,154679,1,,,
50000,1,2,41,120407,1,,,
210000,1,4,42,0,1,,,
250000,0,4,30,0,1,,,
30000,0,4,32,140741,1,,,
80000,1,3,30,33763,1,,,
50000,0,4,35,108369,1,,,
120000,1,2,26,651,1,,,
160000,1,3,39,29920,1,,,
4.00E+05,0,4,28,166844,1,,,
150000,1,3,49,0,1,,,
70000,1,4,42,210838,1,,,
210000,1,3,42,11719,1,,,
450000,1,4,36,-44,1,,,
30000,0,3,27,113305,1,,,
120000,0,3,31,278363,1,,,
20000,1,3,22,488,1,,,
50000,0,3,31,63840,1,,,
5.00E+05,1,4,37,59544,1,,,
10000,1,2,56,45203,1,,,
310000,1,4,38,0,1,,,
50000,1,2,45,193095,1,,,
160000,1,3,40,-339,1,,,
150000,1,2,39,553318,1,,,
30000,0,3,43,80358,1,,,
50000,1,4,23,120756,1,,,
150000,0,2,29,258164,1,,,
210000,1,3,30,300017,1,,,
110000,1,3,33,685690,1,,,
80000,1,2,40,200835,1,,,
50000,1,3,26,172040,1,,,
20000,1,3,36,86895,1,,,
280000,1,3,40,-50,1,,,
40000,1,2,49,183892,1,,,
150000,1,3,36,659,1,,,
280000,1,3,43,3400,1,,,
50000,1,3,45,237402,1,,,
20000,0,3,25,38431,1,,,
140000,1,4,28,92040,1,,,
20000,1,2,22,74125,1,,,
20000,0,3,28,57764,1,,,
80000,0,2,40,331316,1,,,
60000,1,4,38,1170,1,,,
50000,1,2,57,129008,1,,,
30000,1,2,44,16492,1,,,
180000,1,4,30,8265,1,,,
50000,0,3,49,43614,1,,,
70000,0,2,42,141598,1,,,
180000,0,3,28,-3230,1,,,
150000,1,1,49,-4454,1,,,
50000,0,3,35,225110,1,,,
40000,1,3,26,164890,1,,,
50000,1,3,26,100486,1,,,
70000,0,2,50,210102,1,,,
260000,1,4,36,448217,1,,,
1.00E+05,0,4,31,110516,1,,,
30000,0,2,42,141164,1,,,
210000,0,4,37,0,1,,,
50000,0,2,27,249309,1,,,
30000,0,2,44,114471,1,,,
380000,0,3,34,4168,1,,,
210000,1,3,27,717857,1,,,
130000,0,3,30,780,1,,,
20000,1,3,31,-1190,1,,,
30000,0,3,28,136644,1,,,
180000,0,3,29,614935,1,,,
230000,0,3,37,0,1,,,
30000,1,3,25,141584,1,,,
70000,0,3,26,221507,1,,,
1.00E+05,0,2,41,62520,1,,,
10000,0,2,47,41858,1,,,
20000,0,2,25,8250,1,,,
20000,1,3,38,86393,1,,,
80000,1,3,27,382210,1,,,
180000,1,3,41,210628,1,,,
410000,1,4,34,0,1,,,
10000,1,4,24,38273,1,,,
20000,1,3,23,64461,1,,,
130000,0,4,29,448035,1,,,
210000,1,4,25,0,1,,,
50000,0,3,29,202152,1,,,
230000,1,3,36,-23,1,,,
190000,0,3,50,101940,1,,,
10000,0,3,24,10215,1,,,
2.00E+05,0,4,43,674283,1,,,
390000,1,3,31,47834,1,,,
30000,1,3,47,117021,1,,,
50000,0,4,25,0,1,,,
50000,0,4,24,1662,1,,,
150000,1,4,31,0,1,,,
250000,1,4,40,880294,1,,,
80000,0,3,34,326154,1,,,
180000,1,4,28,440854,1,,,
140000,1,4,29,538832,1,,,
20000,1,3,23,50067,1,,,
50000,0,4,25,224662,1,,,
220000,1,4,29,23886,1,,,
50000,1,3,30,234492,1,,,
50000,1,4,27,116524,1,,,
360000,0,3,49,2038,1,,,
50000,0,3,32,220464,1,,,
310000,1,3,43,1333500,1,,,
20000,0,2,44,69434,1,,,
20000,0,3,24,37323,1,,,
450000,1,4,36,0,1,,,
80000,1,3,24,10140,1,,,
80000,1,3,36,248355,1,,,
3.00E+05,0,3,38,863468,1,,,
70000,0,3,29,102000,1,,,
50000,1,3,41,107088,1,,,
170000,1,4,34,30717,1,,,
150000,1,2,25,0,1,,,
20000,0,3,34,84419,1,,,
70000,0,4,26,0,1,,,
80000,1,2,35,353527,1,,,
250000,0,4,39,0,1,,,
260000,0,2,39,-231,1,,,
50000,1,3,33,6439,1,,,
50000,1,3,52,123316,1,,,
70000,1,3,32,91049,1,,,
150000,1,3,30,336682,1,,,
50000,1,4,22,20119,1,,,
120000,1,4,27,0,1,,,
30000,1,2,48,89924,1,,,
330000,1,4,41,0,1,,,
30000,0,3,40,108627,1,,,
2.00E+05,0,3,27,888391,1,,,
80000,1,2,44,30170,1,,,
120000,0,4,42,49584,1,,,
150000,1,4,29,0,1,,,
260000,1,3,44,-6,1,,,
4.00E+05,0,4,31,38147,1,,,
50000,0,3,34,192575,1,,,
2.00E+05,1,3,37,-1331,1,,,
140000,1,3,26,648659,1,,,
1.00E+05,1,4,41,169655,1,,,
120000,0,3,45,28962,1,,,
160000,1,4,30,380715,1,,,
150000,1,4,29,0,1,,,
50000,1,3,51,74122,1,,,
5.00E+05,0,3,30,75298,1,,,
90000,1,3,25,304267,1,,,
80000,1,3,29,334608,1,,,
40000,1,4,24,193868,1,,,
140000,1,3,27,193888,1,,,
180000,1,4,44,34035,1,,,
120000,1,3,43,358417,1,,,
50000,0,3,23,129095,1,,,
60000,0,3,47,160379,1,,,
30000,1,3,29,136361,1,,,
50000,0,3,28,226690,1,,,
2.00E+05,0,3,28,12215,1,,,
5.00E+05,1,4,37,0,1,,,
30000,1,3,23,117885,1,,,
80000,1,3,43,122838,1,,,
140000,0,3,28,3260,1,,,
210000,1,4,34,2045,1,,,
30000,1,3,47,80335,1,,,
5.00E+05,0,4,37,1905213,1,,,
20000,1,3,22,-598,1,,,
5.00E+05,1,4,38,450,1,,,
1.00E+05,1,4,29,5578,1,,,
150000,0,3,45,643057,1,,,
120000,0,3,38,1948,1,,,
80000,1,3,24,41361,1,,,
1.00E+05,0,4,41,295545,1,,,
150000,1,4,40,1855,1,,,
70000,1,3,38,154507,1,,,
20000,1,3,42,64298,1,,,
50000,1,2,27,31242,1,,,
340000,1,3,31,1443470,1,,,
290000,1,4,27,1244464,1,,,
260000,1,4,26,72211,1,,,
160000,1,3,47,2508,1,,,
60000,1,2,40,52716,1,,,
80000,0,2,59,59586,1,,,
90000,1,3,37,2146,1,,,
120000,1,3,27,375856,1,,,
30000,1,3,26,2659,1,,,
20000,0,3,23,25159,1,,,
20000,1,3,50,-147,1,,,
50000,0,2,34,37732,1,,,
10000,1,3,21,36469,1,,,
350000,1,2,36,1246158,1,,,
20000,1,2,26,83653,1,,,
5.00E+05,0,4,58,187743,1,,,
1.00E+05,1,4,27,441339,1,,,
20000,0,2,34,780,1,,,
40000,0,3,38,168150,1,,,
150000,1,4,27,642030,1,,,
160000,0,3,27,568609,1,,,
60000,1,2,35,71703,1,,,
70000,1,3,24,243422,1,,,
50000,1,2,27,174793,1,,,
20000,0,2,34,85468,1,,,
360000,0,4,31,580,1,,,
50000,1,3,23,7802,1,,,
70000,0,2,45,335899,1,,,
120000,0,3,34,259412,1,,,
50000,1,3,23,1731,1,,,
150000,1,3,41,347273,1,,,
80000,1,3,34,137944,1,,,
130000,0,1,27,610755,1,,,
30000,0,2,46,148030,1,,,
240000,1,3,56,2500,1,,,
160000,0,4,48,0,1,,,
20000,0,3,47,92876,1,,,
30000,1,2,22,62664,1,,,
60000,1,2,37,0,1,,,
230000,1,3,31,17481,1,,,
60000,0,3,24,75764,1,,,
3.00E+05,0,4,42,165500,1,,,
390000,1,4,40,707878,1,,,
20000,1,3,22,89338,1,,,
120000,1,3,27,2528,1,,,
20000,0,3,24,86011,1,,,
120000,0,4,35,-150,1,,,
120000,1,4,39,0,1,,,
2.00E+05,1,3,33,0,1,,,
220000,1,3,36,919134,1,,,
1.00E+05,1,2,50,288246,1,,,
50000,0,4,22,231577,1,,,
30000,0,3,34,38759,1,,,
60000,1,4,45,183771,1,,,
260000,1,4,51,0,1,,,
